candidate,n_stubs,depth_scale,width_scale,seed_offset,fabrication_valid,f3db_thz,pass_avg_s21_db,pass_min_s21_db,pass_ripple_db,pass_avg_s11_db,edge_avg_s21_db,stop_avg_s21_db,stop_max_s21_db,monotonic_violation_db,score
SWEEP_0051,9,0.88,1.0,0,True,0.9468479649328247,-0.20475315179559564,-0.4973350104785135,0.38497657146227027,-22.237970905943484,-3.927604377961444,-15.03497188930838,-1.6183896929788066,0.05120215501431713,-8.181562248518775
SWEEP_0052,9,0.88,1.0,1,True,0.9304209539803078,-0.2626318974508027,-0.5100840506591198,0.4019429934910529,-18.226414623540588,-6.722719693219457,-15.60501040700651,-0.8231898971215512,0.0,-7.604107987635465
SWEEP_0053,9,0.88,1.25,0,True,0.8603234013334945,-0.358246657132076,-1.2830878773182908,1.1807085684207794,-16.708136045249926,-9.81628239925727,-19.229417417212805,-0.4534655972108198,0.7003700071354005,-5.94443986691718
SWEEP_0054,9,0.88,1.25,1,True,0.8947864297306787,-0.2250169388566495,-0.4586498027998643,0.34775640100616023,-19.632855054384667,-9.265424378958159,-24.161641885134774,-0.6201305258882336,0.2834416660046721,-6.206386131236854
SWEEP_0055,9,0.96,0.75,0,True,0.881462210128838,-0.3541695873029188,-1.447688330767958,1.334603488119016,-16.668119227634858,-11.539779689965366,-12.793374575413978,-0.9157458085340504,0.0,-7.123403396819984
SWEEP_0056,9,0.96,0.75,1,True,0.85795556693427,-0.31760297669538734,-1.0591185172684636,0.9545008571645768,-16.923285450228178,-12.31688522619963,-12.067583439179757,-0.9160118289519203,0.4012255331175061,-5.1944033934541585
SWEEP_0057,9,0.96,1.0,0,True,0.8783775353940857,-0.2234750772584076,-0.5948669986305174,0.4811647135162676,-21.378472755982564,-13.894353190038222,-12.972185220174811,-0.7543008822015013,0.0,-5.683233857960343
SWEEP_0058,9,0.96,1.0,1,True,0.8524252208394257,-0.2879980152709642,-0.5589007933397018,0.4492733091246425,-17.41650516283995,-19.439933634445737,-12.41994683155389,-1.8445665248756404,0.0,-4.9249786684511845
SWEEP_0059,9,0.96,1.25,0,True,0.800573187768816,-0.43496723469199167,-1.5594744867809291,1.4559699776391184,-15.707678265235621,-24.23985988458026,-15.085272308534062,-0.46892180438915143,3.5655666787973086,-6.413764850731689
SWEEP_0060,9,0.96,1.25,1,True,0.8260321246246778,-0.2407762737981793,-0.5085571049945485,0.3971264712288381,-18.950220520064455,-28.12336023570216,-18.248204371191314,-0.47806129517346363,0.7457231932478797,-4.8234007595422765
SWEEP_0061,9,1.04,0.75,0,True,0.7958983993323167,-0.4309987240630428,-1.728265753455958,1.6129652406930735,-15.708265950984876,-15.476112493384477,-12.078950318981558,-0.8472553311794653,1.9749097870202785,-5.625409309693276
SWEEP_0062,9,1.04,0.75,1,True,0.7839574264935439,-0.37969981362890676,-1.3186494081167006,1.2139238828710173,-15.950827079575689,-22.91427966023387,-9.66880850386005,-0.8242266555525911,1.8769831623532025,-5.551176738947837
SWEEP_0063,9,1.04,1.0,0,True,0.8143697359956762,-0.2505318422698316,-0.7291794565427476,0.6149774827697705,-20.353964854663783,-21.04197413964256,-12.160276218982633,-0.7058456363721535,1.9787533689431,-4.212593685594161
SWEEP_0064,9,1.04,1.0,1,True,0.7785509791854016,-0.3274611631204911,-0.6610870688645941,0.5493952536350821,-16.6209653335821,-28.730794369361362,-9.66652279706097,-1.3473622433345465,5.5273479002544565,-6.604116921788211
SWEEP_0065,9,1.04,1.25,0,True,0.7401588411970137,-0.5476763611284671,-1.9813391893599888,1.8765304631115427,-14.596073917256437,-31.425701819771806,-11.988595197865559,-0.6848660548986856,12.548953660265468,-14.52966571070101
SWEEP_0066,9,1.04,1.25,1,True,0.7691257957215974,-0.2629112532347563,-0.5769038886552562,0.46479185238082577,-18.557648881558837,-47.27937922554211,-11.95338485357337,-0.3649670686781262,12.912482802452839,-11.487253483163382
